ComplianceResourceId,ComplianceType,Annotation,OrderingTimestamp
arn:aws:iam::017608207428:role/service-role/AmazonSageMakerServiceCatalogProductsCodeBuildRole,NOT_APPLICABLE,"AmazonSageMakerServiceCatalogProductsCodeBuildServiceRolePolicy : operation error AccessAnalyzer: CheckAccessNotGranted, https response error StatusCode: 400, RequestID: 1568b260-4486-4f44-b0cf-1c633714d9d1, ValidationException: The size of the policy in policyDocument, excluding whitespace, exceeds the 10000 character maximum for IDENTITY_POLICY.",2023-12-20T20:32:07Z
arn:aws:iam::033197602013:role/aws-controltower-ReadOnlyExecutionRole,NOT_APPLICABLE,"ReadOnlyAccess : operation error AccessAnalyzer: CheckAccessNotGranted, https response error StatusCode: 400, RequestID: 800ba245-fe2f-458e-81ef-3930bbf8cd0f, ValidationException: The size of the policy in policyDocument, including whitespace, exceeds the 32000 character maximum for IDENTITY_POLICY.",2023-12-20T20:32:07Z
arn:aws:iam::017608207428:role/service-role/AmazonSageMakerServiceCatalogProductsExecutionRole,NOT_APPLICABLE,"AmazonSageMakerFullAccess : operation error AccessAnalyzer: CheckAccessNotGranted, https response error StatusCode: 400, RequestID: 3fd4c84d-2337-4747-9d8a-06ab93db04fb, ValidationException: The size of the policy in policyDocument, excluding whitespace, exceeds the 10000 character maximum for IDENTITY_POLICY.",2023-12-20T20:32:07Z
arn:aws:iam::017608207428:role/service-role/AmazonSageMakerServiceCatalogProductsLambdaRole,NOT_APPLICABLE,"AmazonSageMakerServiceCatalogProductsLambdaServiceRolePolicy : operation error AccessAnalyzer: CheckAccessNotGranted, https response error StatusCode: 400, RequestID: 8b905542-6b52-4229-9973-73f169021a0d, ValidationException: The size of the policy in policyDocument, excluding whitespace, exceeds the 10000 character maximum for IDENTITY_POLICY.",2023-12-20T20:32:07Z
arn:aws:iam::033197602013:role/AwsSecurityAudit,NOT_APPLICABLE,"SecurityAudit : operation error AccessAnalyzer: CheckAccessNotGranted, https response error StatusCode: 400, RequestID: 531af7e4-87b0-44a0-909c-e52691d88d43, ValidationException: The size of the policy in policyDocument, excluding whitespace, exceeds the 10000 character maximum for IDENTITY_POLICY.",2023-12-20T20:32:07Z
arn:aws:iam::033197602013:role/aws-service-role/guardduty.amazonaws.com/AWSServiceRoleForAmazonGuardDuty,NOT_APPLICABLE,"AmazonGuardDutyServiceRolePolicy : operation error AccessAnalyzer: CheckAccessNotGranted, https response error StatusCode: 400, RequestID: 055e61c6-5489-452b-88aa-6f61c92dd904, InvalidParameterException: A parameter specified in the request is not valid, is unsupported, or cannot be used.",2023-12-20T20:32:07Z
arn:aws:iam::033197602013:role/aws-service-role/support.amazonaws.com/AWSServiceRoleForSupport,NOT_APPLICABLE,"AWSSupportServiceRolePolicy : operation error AccessAnalyzer: CheckAccessNotGranted, https response error StatusCode: 400, RequestID: dbd5267d-0e73-42aa-93e3-a960d4cd5b2c, ValidationException: The size of the policy in policyDocument, including whitespace, exceeds the 32000 character maximum for IDENTITY_POLICY.",2023-12-20T20:32:07Z
arn:aws:iam::017608207428:role/AwsSecurityAudit,NOT_APPLICABLE,"SecurityAudit : operation error AccessAnalyzer: CheckAccessNotGranted, https response error StatusCode: 400, RequestID: a6759129-b734-4ded-b50a-570c2fb58f63, ValidationException: The size of the policy in policyDocument, excluding whitespace, exceeds the 10000 character maximum for IDENTITY_POLICY.",2023-12-20T20:32:07Z
arn:aws:iam::017608207428:role/aws-service-role/guardduty.amazonaws.com/AWSServiceRoleForAmazonGuardDuty,NOT_APPLICABLE,"AmazonGuardDutyServiceRolePolicy : operation error AccessAnalyzer: CheckAccessNotGranted, https response error StatusCode: 400, RequestID: f4235392-3ee2-4032-9004-9c568d62c2d5, InvalidParameterException: A parameter specified in the request is not valid, is unsupported, or cannot be used.",2023-12-20T20:32:07Z
arn:aws:iam::033197602013:role/cdk-hnb659fds-lookup-role-033197602013-us-east-1,NOT_APPLICABLE,"LookupRolePolicy : operation error AccessAnalyzer: CheckAccessNotGranted, https response error StatusCode: 400, RequestID: 8334379e-c67a-48e7-8e80-f9fa7cedcdfe, InvalidParameterException: You must include at least one allow statement for analysis.
ReadOnlyAccess : operation error AccessAnalyzer: CheckAccessNotGranted, https response error StatusCode: 400, RequestID: bd2bb5fb-8db7-48cb-866d-e4d7fa2e6bd5, ValidationException: The size of the policy in policyDocument, including whitespace, exceeds the 32000 character maximum for IDENTITY_POLICY.",2023-12-20T20:32:07Z
